Date,Open,High,Low,Close,Volume
19-04-2017,684.5,691.275024,678.775024,684.400024,5290584
20-04-2017,689.5,693.400024,682.049988,684.775024,3837224
21-04-2017,690.25,710.5,689.275024,701.25,13820554
24-04-2017,704.525024,717.5,700.099976,708.700012,11663462
25-04-2017,730,733.875,713.049988,716.400024,16807408
26-04-2017,717.5,720.025024,701.299988,708.224976,7663550
27-04-2017,708.5,712.075012,701.099976,704.75,5747310
28-04-2017,704.875,710.150024,695.5,697.599976,5416808
02-05-2017,701,701,683.150024,685.275024,8499368
03-05-2017,688.450012,690.375,682.5,685.049988,4343098
04-05-2017,687.5,689.799988,677.025024,678.974976,6567622
05-05-2017,680.799988,683.674988,662.5,664.125,7131086
08-05-2017,665,669.75,659.174988,660.700012,7345170
09-05-2017,662,666.825012,660.125,665.174988,9649022
10-05-2017,667.400024,681.799988,665.325012,679.549988,10471864
11-05-2017,682.049988,684.875,675.825012,679.775024,6301512
12-05-2017,680.025024,682,672.025024,675.224976,3439458
15-05-2017,678.200012,678.200012,666.75,672.049988,3080426
16-05-2017,673.025024,688.450012,670.5,678.150024,5785894
17-05-2017,676.5,682.974976,673.875,676.549988,4500608
18-05-2017,670.125,675,662.049988,663.674988,4475832
19-05-2017,666.5,667.849976,655,659.424988,5857766
22-05-2017,663.25,666.799988,657.599976,662.075012,4023718
23-05-2017,662.849976,664.924988,651,652.775024,4216446
24-05-2017,653.75,656.849976,647.549988,648.849976,6549608
25-05-2017,650,656.200012,648.224976,651.224976,11850670
26-05-2017,651.974976,672.200012,650,668.650024,9797278
29-05-2017,668.5,682.724976,667.799988,678.450012,10982340
30-05-2017,677.950012,682.349976,674.25,679.674988,4415454
31-05-2017,683.5,683.974976,667.900024,670.349976,7508198
01-06-2017,666.349976,670,661.5,664.125,4358656
02-06-2017,667.5,669.349976,658.5,662.375,5255130
05-06-2017,663.125,670.5,657.924988,664.674988,4953412
06-06-2017,666.974976,666.974976,655.5,656.400024,4384712
07-06-2017,655.599976,671,654.5,669.5,5119908
08-06-2017,670,672.400024,664.025024,665.849976,3613042
09-06-2017,672.549988,676.474976,665.5,667.849976,6325604
12-06-2017,663.275024,664.875,658.5,659.724976,3855026
13-06-2017,660.299988,663.5,655.5,657.174988,2754582
14-06-2017,657.950012,680,657.950012,678.75,24202054
15-06-2017,680,697.5,679.549988,691.974976,12933608
16-06-2017,694.549988,697.900024,684.650024,694.400024,14954314
19-06-2017,695.099976,707.900024,695.099976,704.625,6965824
20-06-2017,704.5,711.049988,703.724976,706.174988,4636798
21-06-2017,703.900024,714,702.125,711,9139886
22-06-2017,714.724976,722.700012,713.849976,716.325012,10111884
23-06-2017,718,721,715.299988,717.924988,14237664
27-06-2017,716,721.5,712.5,718.575012,14899756
28-06-2017,719.974976,719.974976,697.775024,699.25,7117076
29-06-2017,700,705,695.049988,696.349976,5896644
30-06-2017,696,696.200012,687.525024,690,3572422
03-07-2017,694.099976,697.349976,685.5,690.525024,4203772
04-07-2017,695,713.549988,694.5,710.974976,8602400
05-07-2017,714.724976,723.724976,712,721.325012,12439044
06-07-2017,724.349976,725,719,721.275024,6213034
07-07-2017,721.5,748.875,720,745.575012,16387270
10-07-2017,747.549988,750.450012,744.549988,746.424988,1602158
11-07-2017,750.5,752.200012,743.5,747.174988,9598458
12-07-2017,749.700012,762.5,748.75,755.549988,7819594
13-07-2017,754.375,762.5,753.075012,761.049988,10519518
14-07-2017,760,768,757.775024,766.875,9386022
17-07-2017,768.5,779.799988,768.5,775.875,8571618
18-07-2017,773.400024,775.900024,755.5,759.950012,8978824
19-07-2017,756.299988,769,756.299988,766.474976,5390082
20-07-2017,769.875,775,761.849976,764.450012,6229372
21-07-2017,775,795.849976,772.474976,792.5,44410224
24-07-2017,800,812.450012,792.5,807.625,19854458
25-07-2017,812.349976,812.474976,798.799988,801.075012,9172158
26-07-2017,802.099976,814.950012,800.549988,811.375,10036778
27-07-2017,814,815.75,794.174988,797.400024,8416142
28-07-2017,795.625,802.974976,789,797.224976,6552046
31-07-2017,800.974976,809.400024,798,807.599976,7574068
01-08-2017,811.375,811.375,795.75,801.799988,5628596
02-08-2017,805,817.849976,804.049988,814.599976,9502770
03-08-2017,813.424988,832.450012,808.525024,825.049988,9009552
04-08-2017,831.5,831.5,807.549988,811.075012,8494090
07-08-2017,815.799988,815.799988,806.275024,808.174988,4360036
08-08-2017,809,810.525024,793.400024,801.275024,5011136
09-08-2017,800.75,810,792.5,799.400024,4771286
10-08-2017,796.525024,803.325012,788.974976,792.174988,4657686
11-08-2017,775.474976,790,766.5,773.125,7770128
14-08-2017,780.5,792.25,780.5,786.525024,6144598
16-08-2017,786,788,775.099976,783.049988,6206788
17-08-2017,784.5,798.825012,780.575012,783.549988,7236358
18-08-2017,782,788.900024,776.575012,787.700012,3628022
21-08-2017,788.5,792.075012,780.125,782.200012,3462376
22-08-2017,786,789.950012,778.025024,780.025024,4358460
23-08-2017,782.424988,793.275024,776.575012,791.025024,3803648
24-08-2017,795,796.549988,782.25,784.025024,5785142
